"loc_id","loc_name","loc_lon","loc_lat","loc_dataset"
202,"AliceHolt",-0.85823,51.15355,"COSMOS-UK"
203,"BunnyPark",-1.12685,52.86073,"COSMOS-UK"
204,"Cardington",-0.42464,52.1056,"COSMOS-UK"
206,"ChobhamCommon",-0.59748,51.36795,"COSMOS-UK"
207,"Elmsett",0.99307,52.09465,"COSMOS-UK"
208,"Euston",0.79592,52.33639,"COSMOS-UK"
209,"Fincham",0.51073,52.61777,"COSMOS-UK"
210,"Hadlow",0.32018,51.22856,"COSMOS-UK"
212,"LullingtonHeath",0.18887,50.79372,"COSMOS-UK"
214,"Morley",1.03423,52.54815,"COSMOS-UK"
218,"Riseholme",-0.52591,53.26165,"COSMOS-UK"
222,"Stoughton",-1.04701,52.60164,"COSMOS-UK"
225,"Writtle",0.4179,51.734,"COSMOS-UK"
